[10, 18, 9, 18, 15, 1, 5, 8, 13, 5, 12, 2, 21, 12, 1, 14, 6, 1, 16, 9, 3, 19, 8, 5, 8, 3, 2, 9, 4, 13, 4, 16, 6, 7, 1, 17, 16, 2, 12, 2, 8, 2, 3, 8, 11, 12, 12, 12, 5, 10, 13, 4, 14, 20, 16, 9, 15, 9, 7, 5, 7, 5, 18, 3, 20, 9, 20, 12, 14, 11, 13, 2, 18, 0]
[16, 24, 15, 24, 21, 7, 11, 14, 19, 11, 18, 8, 27, 18, 7, 20, 12, 7, 22, 15, 9, 25, 14, 11, 14, 9, 8, 15, 10, 19, 10, 22, 12, 13, 7, 23, 22, 8, 18, 8, 14, 8, 9, 14, 17, 18, 18, 18, 11, 16, 19, 10, 20, 26, 22, 15, 21, 15, 13, 11, 13, 11, 24, 9, 26, 15, 26, 18, 20, 17, 19, 8, 24, 6]
[10, 18, 9, 18, 15, 1, 5, 8, 13, 5, 12, 2, 21, 12, 1, 14, 6, 1, 16, 9, 3, 19, 8, 5, 8, 3, 2, 9, 4, 13, 4, 16, 6, 7, 1, 17, 16, 2, 12, 2, 8, 2, 3, 8, 11, 12, 12, 12, 5, 10, 13, 4, 14, 20, 16, 9, 15, 9, 7, 5, 7, 5, 18, 3, 20, 9, 20, 12, 14, 11, 13, 2, 18, 0]
[26, 39, 21, 30, 32, 40, 35, 22, 31, 40, 23, 21, 21, 41, 27, 21, 23, 38, 35, 38, 24, 23, 30, 37, 34, 31, 38, 39, 30, 29, 27, 25, 29, 29, 35, 38, 28, 33, 27, 29, 26, 29, 35, 36, 35, 37, 39, 37, 39, 22, 41, 35, 26, 39, 33, 39, 36, 29, 38, 37, 26, 34, 21, 25, 37, 36, 37, 24, 40, 37, 29, 25, 22, 37]
[18, 20, 11, 27, 30, 29, 16, 26, 21, 30, 17, 17, 14, 11, 21, 11, 29, 22, 23, 28, 19, 22, 6, 7, 8, 30, 24, 22, 30, 23, 29, 20, 20, 32, 9, 24, 17, 30, 23, 39, 8, 17, 20, 13, 22, 27, 10, 26, 29, 21, 12, 24, 24, 30, 24, 34, 41, 38, 24, 17, 29, 14, 13, 28, 33, 34, 30, 30, 17, 25, 18, 14, 28, 20]
[26, 36, 16, 26, 31, 40, 34, 19, 28, 39, 20, 21, 17, 36, 23, 20, 19, 38, 31, 33, 22, 20, 27, 37, 30, 28, 34, 35, 25, 26, 23, 23, 29, 26, 34, 33, 26, 30, 27, 27, 22, 29, 33, 35, 35, 36, 35, 34, 37, 22, 41, 31, 22, 38, 31, 36, 33, 29, 35, 37, 22, 30, 21, 20, 33, 35, 33, 24, 39, 36, 27, 24, 19, 34]
[25, 35, 15, 25, 30, 39, 33, 18, 27, 38, 19, 20, 16, 35, 22, 19, 18, 37, 30, 32, 21, 19, 26, 36, 29, 27, 33, 34, 24, 25, 22, 22, 28, 25, 33, 32, 25, 29, 26, 26, 21, 28, 32, 34, 34, 35, 34, 33, 36, 21, 40, 30, 21, 37, 30, 35, 32, 28, 34, 36, 21, 29, 20, 19, 32, 34, 32, 23, 38, 35, 26, 23, 18, 33]
[15, 17, 8, 24, 27, 26, 13, 23, 18, 27, 14, 14, 11, 8, 18, 8, 26, 19, 20, 25, 16, 19, 3, 4, 5, 27, 21, 19, 27, 20, 26, 17, 17, 29, 6, 21, 14, 27, 20, 36, 5, 14, 17, 10, 19, 24, 7, 23, 26, 18, 9, 21, 21, 27, 21, 31, 38, 35, 21, 14, 26, 11, 10, 25, 30, 31, 27, 27, 14, 22, 15, 11, 25, 17]
[21, 25, 11, 23, 28, 28, 28, 18, 21, 36, 16, 18, 11, 30, 12, 10, 11, 35, 21, 26, 15, 12, 22, 27, 23, 15, 24, 33, 11, 14, 13, 12, 22, 16, 24, 27, 16, 18, 23, 24, 16, 20, 24, 30, 26, 33, 31, 26, 29, 17, 33, 28, 10, 30, 24, 29, 31, 23, 26, 31, 18, 28, 13, 14, 24, 27, 20, 18, 27, 24, 16, 14, 14, 21]
[17, 8, 21, 24, 16, 13, 13, 11, 15, 21, 24, 14, 14, 23, 20, 26, 19, 16, 16, 11, 8, 19, 20, 16, 20, 15, 3, 8, 10, 23, 28, 20, 31, 22, 21, 23, 17, 22, 0, 23, 8, 28, 25, 31, 23, 26, 15, 23, 15, 10, 12, 17, 19, 13, 19, 32, 20, 25, 16, 25, 3, 12, 17, 15, 13, 11, 28, 5, 17, 28, 15, 24, 23, 16]
[19, 7, 26, 25, 10, 19, 6, 14, 8, 19, 23, 11, 18, 20, 26, 24, 11, 13, 16, 8, 10, 11, 15, 20, 21, 20, 1, 9, 4, 19, 33, 16, 37, 22, 15, 28, 11, 22, 0, 19, 11, 30, 22, 34, 20, 19, 21, 29, 8, 8, 9, 12, 15, 8, 24, 35, 12, 22, 20, 28, 5, 8, 15, 7, 12, 16, 27, 0, 13, 34, 18, 29, 18, 9]
[20, 9, 22, 21, 15, 12, 16, 18, 15, 3, 26, 22, 13, 20, 0, 18, 28, 11, 3, 22, 6, 15, 9, 11, 9, 27, 8, 25, 23, 5, 23, 23, 13, 17, 12, 25, 10, 12, 16, 22, 14, 16, 8, 0, 8, 5, 21, 26, 21, 1, 8, 30, 12, 9, 17, 25, 6, 9, 25, 18, 17, 20, 8, 17, 20, 16, 18, 5, 17, 19, 13, 9, 25, 21]
[25, 14, 27, 26, 20, 17, 21, 23, 20, 8, 31, 27, 18, 25, 5, 23, 33, 16, 8, 27, 11, 20, 14, 16, 14, 32, 13, 30, 28, 10, 28, 28, 18, 22, 17, 30, 15, 17, 21, 27, 19, 21, 13, 5, 13, 10, 26, 31, 26, 6, 13, 35, 17, 14, 22, 30, 11, 14, 30, 23, 22, 25, 13, 22, 25, 21, 23, 10, 22, 24, 18, 14, 30, 26]
